0	0	0	0	3	2	5	5	60	61	19	8	5	1	0	0	0
0	0	0	0	0	0	0	0	49	65	45	10	4	1	0	0	0
0	0	0	5	4	4	1	14	44	72	25	9	3	1	0	0	1
0	0	0	0	0	1	1	3	45	85	45	19	3	2	0	0	0
2	0	0	0	0	1	1	5	71	83	39	16	7	3	0	0	3
6	0	0	0	1	2	2	5	70	86	44	16	7	2	1	0	5
0	0	0	0	0	3	1	4	48	80	84	26	5	2	0	0	0
0	0	1	0	0	0	7	29	67	81	86	62	9	3	0	0	0
2	0	2	0	0	1	3	25	89	125	119	50	6	2	4	0	0
0	0	0	0	0	0	0	2	72	206	77	27	3	2	0	0	0
0	0	0	0	0	4	38	153	283	151	16	5	0	0	0	0	0
0	0	0	0	0	0	2	23	106	181	169	85	39	12	1	3	0
1	0	3	4	15	31	43	100	243	202	65	52	24	9	3	0	0
0	1	0	0	0	2	3	25	178	267	77	10	0	0	0	0	0
