0	1	4	4	4	10	10	24	163	104	16	3	0	1	0	0	0
0	1	0	0	6	2	11	23	68	75	45	16	4	1	1	0	0
0	1	4	4	2	11	11	41	103	51	5	0	0	0	0	0	0
0	1	0	0	1	0	1	20	114	91	43	7	1	2	0	0	0
0	0	0	0	0	0	8	38	146	99	44	9	1	0	0	0	0
0	0	0	0	0	0	0	10	61	15	1	0	0	0	0	0	0
0	0	0	0	0	3	2	4	45	65	27	12	6	4	2	1	0
0	0	0	0	0	0	1	3	65	82	58	25	8	4	0	0	0
0	0	1	0	1	1	2	11	146	118	40	19	6	0	0	0	0
0	0	0	0	0	0	4	5	65	139	114	34	8	2	2	0	0
0	0	1	3	3	1	10	61	322	195	44	6	2	0	0	0	0
0	0	0	0	0	0	1	3	43	63	35	14	7	5	2	1	0
1	0	1	2	1	9	24	56	240	173	88	22	5	0	0	0	1
0	0	0	0	0	0	1	28	221	346	165	38	1	0	0	0	0
0	0	0	0	0	0	1	11	74	45	42	16	4	1	1	0	0
0	0	0	0	0	0	4	16	135	180	150	31	12	5	0	0	0
7	2	3	6	8	14	22	29	181	254	126	41	6	2	0	0	1
0	0	0	0	5	9	22	75	206	183	77	28	9	2	0	0	0
0	0	0	0	1	1	7	27	150	261	125	59	16	3	1	0	0
0	0	4	8	5	10	20	41	194	205	84	17	1	1	0	0	0
2	3	5	4	8	7	10	21	97	108	63	7	1	0	0	0	0
1	0	0	0	6	8	20	50	55	81	68	13	2	0	0	0	0
0	0	1	3	9	17	37	88	126	7	0	0	0	0	0	0	0
0	0	1	0	2	8	36	99	181	141	55	38	13	2	0	0	0
1	1	1	5	10	40	55	56	61	34	5	1	0	0	0	0	0
0	0	1	3	13	15	50	163	216	141	45	26	12	5	2	1	0
0	0	0	0	0	0	5	29	72	59	32	12	2	1	0	0	0
0	0	0	0	0	2	0	21	161	199	105	34	13	3	2	0	0
2	4	22	27	46	76	124	187	241	54	13	2	0	0	0	0	0
0	1	0	3	3	10	12	28	83	62	21	4	5	4	0	0	0
0	0	0	0	4	13	14	51	254	231	57	5	2	0	0	0	0
0	0	0	0	0	1	1	7	77	68	37	9	1	0	0	0	0
0	0	1	2	1	1	6	19	125	144	53	16	3	0	0	1	0
0	0	0	0	1	2	6	25	79	39	27	10	3	3	0	0	0
0	1	0	1	0	2	12	91	300	123	15	3	1	0	1	0	0
0	0	0	0	2	1	14	53	263	462	180	40	11	0	0	0	1
0	0	0	0	2	1	5	36	145	185	64	25	6	2	0	0	0
0	0	0	0	0	3	6	38	304	353	79	7	2	2	1	0	0
0	0	0	0	0	1	3	7	94	147	49	14	3	0	0	0	1
0	0	0	0	0	0	0	9	53	49	10	2	0	0	0	0	0
0	0	0	2	0	0	3	10	110	123	113	33	15	2	0	0	0
0	0	0	0	1	0	1	10	42	68	24	7	4	0	0	0	0
0	0	1	0	0	3	11	123	341	251	175	74	18	5	0	0	1
0	0	1	1	8	11	36	104	229	238	108	32	12	3	1	1	0
0	0	0	0	2	8	19	94	506	351	114	37	12	4	0	1	0
1	0	0	0	0	1	15	48	202	177	93	32	11	2	0	1	0
0	0	0	0	0	0	1	50	276	190	126	49	24	8	7	1	0
0	0	0	0	0	0	11	69	167	182	69	10	5	0	0	3	1
0	0	0	0	7	25	50	81	535	374	124	41	14	2	0	0	0
0	0	0	0	0	2	0	10	73	149	74	14	4	0	0	0	0
0	0	0	0	0	0	1	58	249	156	35	4	0	0	0	0	0
0	0	2	8	13	16	28	95	176	126	63	18	1	0	0	0	0
2	2	5	5	6	10	22	50	83	72	31	4	0	0	0	0	0
0	0	0	0	0	2	1	4	22	39	15	2	2	0	0	0	0
0	1	2	1	1	2	5	72	355	326	95	20	4	0	0	0	0
1	1	0	0	5	25	96	293	438	129	10	2	1	0	0	0	0
0	0	1	0	1	6	20	100	111	40	36	17	2	1	0	0	0
0	0	0	0	0	2	7	96	169	71	42	22	1	3	1	0	0
0	0	0	0	0	0	2	24	117	39	26	2	1	0	0	0	0
0	0	0	0	0	0	1	26	89	72	42	14	6	1	0	0	2
0	0	0	0	0	0	3	26	145	163	67	20	8	2	0	0	0
0	0	0	0	0	0	4	18	72	86	24	8	2	0	0	0	1
0	1	0	0	0	4	7	83	282	210	105	81	19	1	0	0	0
0	0	0	0	0	1	11	131	194	127	34	15	4	0	0	0	0
1	0	2	2	6	9	8	54	188	153	78	16	2	1	0	0	0
0	0	0	0	2	0	2	18	158	176	37	10	3	2	0	1	1
3	0	1	0	1	0	1	51	537	627	168	41	11	4	2	1	0
0	0	0	0	0	0	0	12	105	74	17	7	2	1	1	0	0
1	0	0	0	1	1	6	49	460	669	91	16	6	1	1	0	0
0	0	0	0	0	2	3	22	109	110	17	4	3	0	0	0	0
0	0	0	2	1	0	3	17	73	104	58	7	1	1	0	0	1
1	0	0	2	1	2	4	56	556	517	58	3	2	1	0	0	1
0	0	0	0	0	1	11	121	142	96	22	14	4	2	0	0	0
1	0	0	1	1	7	28	107	380	439	99	15	3	2	0	0	0
1	0	0	2	3	5	22	69	139	230	83	17	1	0	0	0	0
0	0	0	0	2	0	1	3	93	138	39	16	4	1	0	0	0
