0	0	0	0	4	20	95	191	185	177	23	1	1	0	0	0	0
0	0	0	0	1	7	16	35	58	41	10	4	5	4	0	0	1
0	0	0	0	0	7	63	127	156	96	73	2	0	0	1	0	0
0	0	0	0	1	3	27	119	133	49	0	0	0	0	0	0	0
1	0	0	0	1	7	31	65	72	25	1	0	0	0	0	0	0
0	0	1	1	3	20	37	108	120	24	10	4	1	3	1	1	0
0	0	0	0	8	23	70	149	115	19	11	1	4	0	0	0	0
0	0	0	0	2	9	31	71	135	42	7	4	0	0	0	0	0
1	0	0	0	0	8	37	164	41	1	0	0	0	0	0	2	0
0	0	2	5	17	33	95	300	388	118	36	9	3	3	1	0	0
0	0	0	0	1	3	35	108	190	102	26	13	4	2	2	0	3
0	0	0	1	4	11	53	179	170	25	21	4	2	0	0	0	0
0	0	0	1	3	13	60	179	202	105	46	5	3	1	0	0	0
0	0	0	0	1	10	35	126	98	18	3	1	1	0	0	1	2
0	3	3	3	7	14	45	117	100	22	8	4	2	2	0	0	0
1	0	2	2	9	27	102	255	216	49	26	11	9	7	2	1	3
0	0	0	2	8	28	71	77	63	15	10	1	0	0	0	0	0
0	0	1	4	8	17	52	76	125	12	2	1	0	0	0	0	0
0	0	0	2	7	32	78	232	225	15	8	3	4	1	1	0	0
0	0	0	3	13	65	127	183	176	29	9	1	2	0	0	0	0
0	0	0	0	1	11	58	105	111	32	6	7	1	4	3	0	0
